faculty_id,faculty_name,department_id,department_name,department_type,year,male,female,total_male_number,total_female_number,total_student_number_,professors,assoc_prof,phd,base_point,tyt_turkce,tyt_matematik,tyt_fen,tyt_sosyal,ayt_matematik,ayt_fizik,ayt_kimya,ayt_biyoloji,ayt_edebiyat,ayt_cografya1,ayt_cografya2,ayt_din,ayt_felsefe,ayt_tarih1,ayt_tarih2,Marmara,Ege,Akdeniz,Karadeniz,Ic_Anadolu,Dogu_Anadolu,Guney_Dogu_Anadolu
5,Kimya-Metalurji Fakültesi,32,Kimya Mühendisliği (İngilizce),SAY,2023,28,44,176,311,487,12,8,7,"484,45434",32.3,32.6,17.1,14.5,33.5,12.4,10.9,9.5,,,,,,,,55,6,5,4,2,0,0
5,Kimya-Metalurji Fakültesi,39,Matematik Mühendisliği,SAY,2021,53,50,364,347,711,11,5,10,"400,43601",28.6,19.5,14.4,13.0,23.8,6.6,10.2,10.6,,,,,,,,71,4,8,9,7,3,1
5,Kimya-Metalurji Fakültesi,39,Matematik Mühendisliği,SAY,2022,58,45,367,302,669,12,5,9,"482,20758",31.7,35.1,15.4,14.6,37.3,10.0,10.1,9.4,,,,,,,,76,8,9,4,5,1,0
5,Kimya-Metalurji Fakültesi,39,Matematik Mühendisliği,SAY,2023,75,28,402,274,676,14,5,10,"503,50772",32.7,35.3,17.8,15.0,36.5,12.9,11.5,10.1,,,,,,,,68,13,9,6,4,1,2
5,Kimya-Metalurji Fakültesi,40,Matematik Mühendisliği (İngilizce),SAY,2021,48,24,205,197,402,11,5,10,"411,22322",28.6,21.1,14.8,14.2,25.1,7.6,10.3,11.1,,,,,,,,42,8,9,7,2,3,1
5,Kimya-Metalurji Fakültesi,40,Matematik Mühendisliği (İngilizce),SAY,2022,49,23,272,186,458,12,5,9,"496,81636",32.0,36.6,16.2,15.4,38.4,10.6,10.8,10.2,,,,,,,,47,10,6,5,1,1,2
5,Kimya-Metalurji Fakültesi,40,Matematik Mühendisliği (İngilizce),SAY,2023,51,21,306,175,481,14,5,10,"511,62595",33.7,36.3,18.1,15.0,37.3,13.0,11.7,10.6,,,,,,,,44,4,10,3,6,2,3
5,Kimya-Metalurji Fakültesi,41,Matematik Mühendisliği (KKTC Uyruklu),SAY,2021,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0,0,0,0,0,0,0
5,Kimya-Metalurji Fakültesi,41,Matematik Mühendisliği (KKTC Uyruklu),SAY,2022,1,0,0,0,0,0,0,0,"459,85927",30.3,28.3,11.8,10.8,35.3,9.3,9.3,9.3,,,,,,,,0,0,0,0,0,0,0
5,Kimya-Metalurji Fakültesi,41,Matematik Mühendisliği (KKTC Uyruklu),SAY,2023,0,1,0,0,0,14,5,10,"413,63903",26.3,22.5,12.3,8.5,27.5,10.5,8.3,4.5,,,,,,,,0,0,0,0,0,0,0
5,Kimya-Metalurji Fakültesi,45,Metalurji ve Malzeme Mühendisliği,SAY,2021,45,58,487,220,707,14,6,10,"367,43441",28.1,16.8,13.5,13.0,19.1,5.0,9.9,10.4,,,,,,,,64,6,6,13,10,3,1
5,Kimya-Metalurji Fakültesi,45,Metalurji ve Malzeme Mühendisliği,SAY,2022,54,49,416,263,679,10,9,8,"443,09405",29.9,30.6,13.7,13.2,32.5,8.2,9.3,8.0,,,,,,,,66,8,7,10,8,1,3
5,Kimya-Metalurji Fakültesi,45,Metalurji ve Malzeme Mühendisliği,SAY,2023,56,47,380,249,629,10,10,8,"454,55267",30.6,31.2,15.6,13.5,31.0,11.0,9.5,7.7,,,,,,,,60,13,7,8,10,3,2
5,Kimya-Metalurji Fakültesi,46,Metalurji ve Malzeme Mühendisliği (İngilizce),SAY,2021,30,22,203,124,327,14,6,10,"385,42349",28.0,18.1,14.3,13.9,21.1,5.9,10.2,11.0,,,,,,,,32,3,3,6,4,0,4
5,Kimya-Metalurji Fakültesi,46,Metalurji ve Malzeme Mühendisliği (İngilizce),SAY,2022,33,19,209,129,338,10,9,8,"460,54471",30.2,32.9,14.3,13.6,34.7,9.1,9.4,9.3,,,,,,,,30,5,7,4,4,1,1
