faculty_id,faculty_name,department_id,department_name,department_type,year,male,female,total_male_number,total_female_number,total_student_number_,professors,assoc_prof,phd,base_point,success_order,preferred,quota,placed_number,tyt_turkce,tyt_matematik,tyt_fen,tyt_sosyal,ayt_matematik,ayt_fizik,ayt_kimya,ayt_biyoloji,ayt_edebiyat,ayt_cografya1,ayt_cografya2,ayt_din,ayt_felsefe,ayt_tarih1,ayt_tarih2,ydt_yabanci_dil,Marmara,Ege,Akdeniz,Karadeniz,Ic_Anadolu,Dogu_Anadolu,Guney_Dogu_Anadolu
3,Fen-Edebiyat Fakültesi,30,Kimya (İngilizce),SAY,2022,13,39,81,181,262,32,10,3,420.75938,83970,1277,52,52,30.1,27.7,13.5,12.5,29.6,6.9,9.1,7.5,,,,,,,,,38,3,5,2,3,0,1
3,Fen-Edebiyat Fakültesi,30,Kimya (İngilizce),SAY,2023,12,40,79,207,286,40,9,8,434.60637,72562,1183,54,52,30.4,28.9,14.3,13.3,26.8,10.4,9.3,8.4,,,,,,,,,38,3,6,1,1,2,1
3,Fen-Edebiyat Fakültesi,30,Kimya (İngilizce),SAY,2024,9,32,79,207,286,40,9,8,418.69912,64178,910,41,41,30.8,28.7,14.1,13.7,21.4,9.2,7.9,9.3,,,,,,,,,29,4,4,1,1,0,2
3,Fen-Edebiyat Fakültesi,38,Matematik,SAY,2021,48,34,190,235,425,11,10,18,342.29089,101109,1084,82,82,25.7,16.8,11.8,11.5,18.9,4.2,8.8,8.9,,,,,,,,,56,7,4,7,3,1,4
3,Fen-Edebiyat Fakültesi,38,Matematik,SAY,2022,49,33,232,193,425,11,10,14,419.60663,85092,1974,82,82,29.1,29.9,13.3,12.5,32.7,6.9,7.9,6.5,,,,,,,,,57,3,10,6,5,0,1
3,Fen-Edebiyat Fakültesi,38,Matematik,SAY,2023,47,35,254,198,452,17,8,11,436.81543,70496,1802,84,82,29.9,30.3,14.9,12.7,30.6,10.3,8.6,7.2,,,,,,,,,57,4,8,3,5,4,1
3,Fen-Edebiyat Fakültesi,38,Matematik,SAY,2024,40,42,254,198,452,17,8,11,417.20091,65554,1301,82,82,30.8,30.5,14.2,13.3,23.1,9.9,7.7,8.6,,,,,,,,,73,4,1,0,2,0,2
3,Fen-Edebiyat Fakültesi,49,Moleküler Biyoloji ve Genetik,SAY,2021,17,65,124,254,378,5,3,5,380.79571,60177,1874,82,82,29.9,17.9,14.3,13.2,20.4,5.4,10.0,11.0,,,,,,,,,33,9,11,12,9,5,3
3,Fen-Edebiyat Fakültesi,49,Moleküler Biyoloji ve Genetik,SAY,2022,21,61,130,326,456,7,2,5,450.03917,56555,2131,82,82,30.3,31.4,14.5,13.4,33.2,7.7,9.2,9.0,,,,,,,,,38,11,14,8,6,2,3
3,Fen-Edebiyat Fakültesi,49,Moleküler Biyoloji ve Genetik,SAY,2023,32,51,135,323,458,7,6,3,451.55708,56719,1612,84,83,31.4,29.4,16.3,14.0,28.8,11.2,9.1,8.8,,,,,,,,,47,10,7,5,7,4,3
3,Fen-Edebiyat Fakültesi,49,Moleküler Biyoloji ve Genetik,SAY,2024,14,58,135,323,458,7,6,3,426.70613,57160,1578,72,72,31.7,30.4,14.9,14.0,22.5,10.0,8.1,10.0,,,,,,,,,39,6,5,9,9,0,4
3,Fen-Edebiyat Fakültesi,57,Türk Dili ve Edebiyatı,SÖZ,2021,17,55,75,230,305,4,1,6,323.21204,59860,994,72,72,25.6,3.6,1.3,13.1,,,,,15.5,4.0,7.1,3.1,6.0,4.2,3.4,,59,4,3,3,1,1,1
3,Fen-Edebiyat Fakültesi,57,Türk Dili ve Edebiyatı,SÖZ,2022,15,57,80,235,315,5,2,6,375.5865,53074,1627,72,72,27.8,6.1,1.6,13.9,,,,,16.4,4.4,8.3,3.9,5.9,4.9,6.3,,62,1,2,3,4,0,0
