faculty_id,faculty_name,department_id,department_name,department_type,year,male,female,total_male_number,total_female_number,total_student_number,avg_professors,avg_assoc_prof,avg_phd,avg_base_point,total_leaving,total_incoming,avg_success_order,total_quota,total_preferred
6,Makine Fakültesi,37,Makine Mühendisliği,SAY,2021,194,22,1546,122,1668,23.0,14.0,26.0,403.0,12,2,40.592,216,2.352
6,Makine Fakültesi,37,Makine Mühendisliği,SAY,2022,178,38,1429,150,1579,25.0,18.0,17.0,476.0,6,9,34.612,216,2.903
6,Makine Fakültesi,37,Makine Mühendisliği,SAY,2023,180,36,1277,165,1442,28.0,21.0,16.0,487.0,35,6,26.723,216,2933
6,Makine Fakültesi,42,Mekatronik Mühendisliği,SAY,2021,49,13,378,75,453,4.0,3.0,6.0,407.0,1,0,37.16,62,1.321
6,Makine Fakültesi,42,Mekatronik Mühendisliği,SAY,2022,48,14,421,91,512,4.0,5.0,7.0,483.0,1,0,29.075,62,1.451
6,Makine Fakültesi,42,Mekatronik Mühendisliği,SAY,2023,44,18,398,85,483,7.0,4.0,7.0,495.0,8,0,21.399,62,1474
6,Makine Fakültesi,43,Mekatronik Mühendisliği (İngilizce),SAY,2021,37,15,332,58,390,4.0,3.0,6.0,420.0,6,0,28.16,52,1.399
6,Makine Fakültesi,43,Mekatronik Mühendisliği (İngilizce),SAY,2022,45,7,390,73,463,0.0,0.0,0.0,494.0,0,0,20.973,52,1.668
6,Makine Fakültesi,43,Mekatronik Mühendisliği (İngilizce),SAY,2023,37,15,379,80,459,7.0,4.0,7.0,502.0,3,2,17.015,52,1462
6,Makine Fakültesi,44,Mekatronik Mühendisliği (İngilizce) (KKTC Uyruklu),SAY,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1,4
6,Makine Fakültesi,44,Mekatronik Mühendisliği (İngilizce) (KKTC Uyruklu),SAY,2022,1,0,8,0,8,0.0,0.0,0.0,425.0,0,0,78.831,1,12
6,Makine Fakültesi,44,Mekatronik Mühendisliği (İngilizce) (KKTC Uyruklu),SAY,2023,2,0,3,0,3,7.0,4.0,7.0,352.0,0,0,184.253,2,17
7,Mimarlık Fakültesi,35,Kültür Varlıklarını Koruma ve Onarım,EA,2021,14,27,40,58,98,0.0,1.0,3.0,255.0,0,0,343.115,41,283
7,Mimarlık Fakültesi,35,Kültür Varlıklarını Koruma ve Onarım,EA,2022,22,19,76,104,180,0.0,1.0,3.0,316.0,1,0,311.44,41,866
7,Mimarlık Fakültesi,35,Kültür Varlıklarını Koruma ve Onarım,EA,2023,17,25,88,130,218,1.0,2.0,2.0,320.0,0,0,285.723,42,648
7,Mimarlık Fakültesi,36,Kültür Varlıklarını Koruma ve Onarım (KKTC Uyruklu),EA,2023,0,0,0,0,0,1.0,2.0,2.0,0.0,0,0,0.0,1,1
7,Mimarlık Fakültesi,47,Mimarlık,SAY,2021,38,96,465,645,1110,15.0,21.0,23.0,382.0,12,4,58.814,134,2.578
7,Mimarlık Fakültesi,47,Mimarlık,SAY,2022,34,100,422,733,1155,13.0,22.0,21.0,441.0,2,4,64.251,134,2.057
7,Mimarlık Fakültesi,47,Mimarlık,SAY,2023,36,98,341,684,1025,16.0,22.0,16.0,444.0,5,4,63.449,134,1783
7,Mimarlık Fakültesi,48,Mimarlık (İngilizce),SAY,2021,21,51,162,262,424,15.0,21.0,23.0,396.0,3,0,46.853,72,1.89
7,Mimarlık Fakültesi,48,Mimarlık (İngilizce),SAY,2022,13,59,190,357,547,0.0,0.0,0.0,460.0,4,11,47.436,72,1.491
7,Mimarlık Fakültesi,48,Mimarlık (İngilizce),SAY,2023,26,46,180,371,551,16.0,22.0,16.0,459.0,8,10,49.604,72,1159
7,Mimarlık Fakültesi,56,Şehir ve Bölge Planlama,SAY,2021,18,64,117,267,384,7.0,12.0,8.0,273.0,1,0,220.116,82,688
7,Mimarlık Fakültesi,56,Şehir ve Bölge Planlama,SAY,2022,26,56,124,307,431,7.0,12.0,9.0,332.0,1,5,209.019,82,1.372
7,Mimarlık Fakültesi,56,Şehir ve Bölge Planlama,SAY,2023,35,47,137,308,445,7.0,9.0,8.0,352.0,1,3,183.081,84,1302
8,Sanat ve Tasarım Fakültesi,13,Fotoğraf ve Video,SÖZ,2021,13,28,95,85,180,2.0,6.0,7.0,317.0,0,0,69.941,41,413
8,Sanat ve Tasarım Fakültesi,13,Fotoğraf ve Video,SÖZ,2022,16,25,107,135,242,6.0,4.0,9.0,374.0,0,0,55.005,41,968
8,Sanat ve Tasarım Fakültesi,13,Fotoğraf ve Video,SÖZ,2023,15,27,114,149,263,6.0,10.0,7.0,375.0,2,0,51.498,42,765
8,Sanat ve Tasarım Fakültesi,21,İletişim ve Tasarımı,SÖZ,2021,22,40,27,39,66,0.0,0.0,2.0,368.0,0,0,12.737,62,660
8,Sanat ve Tasarım Fakültesi,21,İletişim ve Tasarımı,SÖZ,2022,22,40,82,153,235,0.0,1.0,2.0,418.0,4,0,10.696,62,979
8,Sanat ve Tasarım Fakültesi,21,İletişim ve Tasarımı,SÖZ,2023,17,47,105,218,323,1.0,1.0,2.0,420.0,7,1,8.519,64,811
8,Sanat ve Tasarım Fakültesi,52,Sanat ve Kültür Yönetimi,SÖZ,2021,22,40,26,36,62,2.0,6.0,7.0,306.0,0,0,94.818,62,508
8,Sanat ve Tasarım Fakültesi,52,Sanat ve Kültür Yönetimi,SÖZ,2022,24,38,73,119,192,6.0,4.0,9.0,363.0,0,0,75.53,62,1.007
8,Sanat ve Tasarım Fakültesi,52,Sanat ve Kültür Yönetimi,SÖZ,2023,29,35,107,155,262,6.0,10.0,7.0,364.0,2,0,72.98,64,718
9,İktisadi ve İdari Bilimler Fakültesi,19,İktisat,EA,2023,54,52,54,52,106,14.0,3.0,8.0,381.0,0,0,79.271,106,4822
9,İktisadi ve İdari Bilimler Fakültesi,20,İktisat (İngilizce),EA,2021,31,21,170,110,280,11.0,3.0,10.0,353.0,7,0,43.517,52,1.188
9,İktisadi ve İdari Bilimler Fakültesi,20,İktisat (İngilizce),EA,2022,34,18,216,127,343,0.0,0.0,0.0,422.0,4,8,24.514,52,1.406
9,İktisadi ve İdari Bilimler Fakültesi,20,İktisat (İngilizce),EA,2023,34,18,222,134,356,14.0,3.0,8.0,435.0,12,6,10.367,54,1645
9,İktisadi ve İdari Bilimler Fakültesi,27,İşletme,EA,2021,42,51,279,245,524,12.0,11.0,12.0,317.0,9,1,106.525,93,1.915
9,İktisadi ve İdari Bilimler Fakültesi,27,İşletme,EA,2022,49,44,307,242,549,15.0,8.0,12.0,386.0,5,0,82.578,93,2.545
9,İktisadi ve İdari Bilimler Fakültesi,27,İşletme,EA,2023,35,61,296,260,556,19.0,6.0,13.0,395.0,16,0,51.678,96,1964
9,İktisadi ve İdari Bilimler Fakültesi,28,İşletme (İngilizce),EA,2021,25,27,104,69,173,12.0,11.0,12.0,350.0,2,0,47.122,52,1.836
9,İktisadi ve İdari Bilimler Fakültesi,28,İşletme (İngilizce),EA,2022,27,25,181,143,324,0.0,0.0,0.0,421.0,0,6,25.731,52,2.175
9,İktisadi ve İdari Bilimler Fakültesi,28,İşletme (İngilizce),EA,2023,29,23,208,171,379,19.0,6.0,13.0,431.0,18,4,12.061,54,1944
9,İktisadi ve İdari Bilimler Fakültesi,54,Siyaset Bilimi ve Uluslararası İlişkiler,EA,2021,34,48,212,292,504,6.0,2.0,3.0,302.0,17,5,144.555,82,1.471
9,İktisadi ve İdari Bilimler Fakültesi,54,Siyaset Bilimi ve Uluslararası İlişkiler,EA,2022,34,48,196,302,498,5.0,4.0,1.0,364.0,2,5,133.761,82,2.114
9,İktisadi ve İdari Bilimler Fakültesi,54,Siyaset Bilimi ve Uluslararası İlişkiler,EA,2023,29,55,188,299,487,5.0,5.0,1.0,371.0,10,5,100.011,84,1920
10,İnşaat Fakültesi,6,Çevre Mühendisliği,SAY,2021,15,57,178,283,461,14.0,7.0,4.0,315.0,7,0,136.596,72,909
10,İnşaat Fakültesi,6,Çevre Mühendisliği,SAY,2022,26,46,168,306,474,16.0,8.0,3.0,390.0,1,0,117.624,72,997
10,İnşaat Fakültesi,6,Çevre Mühendisliği,SAY,2023,20,52,150,293,443,16.0,10.0,4.0,405.0,8,1,103.848,72,960
10,İnşaat Fakültesi,18,Harita Mühendisliği,SAY,2021,63,30,434,199,633,12.0,7.0,10.0,284.0,5,0,193.949,93,575
