year,department_name,quota,preferred,placed_students,Quota Change,Preferred Change,Placed Students Change,Quota Change (%),Preferred Change (%),Placed Students Change (%)
2021,İngilizce Öğretmenliği,62,1445,62,,,,,,
2022,İngilizce Öğretmenliği,62,1822,62,0.0,377.0,0.0,0.0,26.089965397923876,0.0
2023,İngilizce Öğretmenliği,62,1376,62,0.0,-446.0,0.0,0.0,-24.47859495060373,0.0
2024,İngilizce Öğretmenliği,41,1980,41,-21.0,604.0,-21.0,-33.87096774193549,43.89534883720929,-33.87096774193549
2021,İnşaat Mühendisliği,134,1278,134,,,,,,
2022,İnşaat Mühendisliği,134,1858,134,0.0,580.0,0.0,0.0,45.38341158059469,0.0
2023,İnşaat Mühendisliği,134,1721,134,0.0,-137.0,0.0,0.0,-7.373519913885895,0.0
2024,İnşaat Mühendisliği,82,1880,82,-52.0,159.0,-52.0,-38.80597014925373,9.238814642649618,-38.80597014925373
2021,İnşaat Mühendisliği (İngilizce),62,933,62,,,,,,
2022,İnşaat Mühendisliği (İngilizce),62,1414,62,0.0,481.0,0.0,0.0,51.554126473740624,0.0
2023,İnşaat Mühendisliği (İngilizce),62,1306,62,0.0,-108.0,0.0,0.0,-7.637906647807635,0.0
2024,İnşaat Mühendisliği (İngilizce),41,1278,41,-21.0,-28.0,-21.0,-33.87096774193549,-2.143950995405819,-33.87096774193549
2021,İstatistik,82,1335,82,,,,,,
2022,İstatistik,82,2079,82,0.0,744.0,0.0,0.0,55.730337078651694,0.0
2023,İstatistik,84,2320,83,2.0,241.0,1.0,2.4390243902439046,11.592111592111598,1.2195121951219523
2024,İstatistik,88,1577,88,4.0,-743.0,5.0,4.761904761904767,-32.025862068965516,6.024096385542177
2021,İşletme,93,1915,93,,,,,,
2022,İşletme,93,2545,93,0.0,630.0,0.0,0.0,32.8981723237598,0.0
2023,İşletme,96,1964,96,3.0,-581.0,3.0,3.2258064516129004,-22.829076620825152,3.2258064516129004
2024,İşletme,103,2903,103,7.0,939.0,7.0,7.291666666666674,47.81059063136457,7.291666666666674
2021,İşletme (İngilizce),52,1836,52,,,,,,
2022,İşletme (İngilizce),52,2175,52,0.0,339.0,0.0,0.0,18.4640522875817,0.0
2023,İşletme (İngilizce),54,1944,52,2.0,-231.0,0.0,3.8461538461538547,-10.620689655172411,0.0
2024,İşletme (İngilizce),62,2547,62,8.0,603.0,10.0,14.814814814814813,31.018518518518512,19.23076923076923
2021,Şehir ve Bölge Planlama,82,688,82,,,,,,
2022,Şehir ve Bölge Planlama,82,1372,82,0.0,684.0,0.0,0.0,99.4186046511628,0.0
2023,Şehir ve Bölge Planlama,84,1302,82,2.0,-70.0,0.0,2.4390243902439046,-5.102040816326525,0.0
2024,Şehir ve Bölge Planlama,52,1279,52,-32.0,-23.0,-30.0,-38.095238095238095,-1.766513056835639,-36.58536585365854
